n,k,k_percent,comparisons,comparisons_sd,normalized
1000,1,0.1000,9,3,1.327493
1000,2,0.2000,18,5,1.242017
1000,5,0.5000,49,7,1.261333
1000,10,1.0000,101,11,1.253002
1000,20,2.0000,215,24,1.281761
1000,50,5.0000,591,31,1.334263
1000,100,10.0000,1310,50,1.422749
1000,200,20.0000,2785,85,1.456992
10000,10,0.1000,134,12,1.288600
10000,20,0.2000,278,23,1.297930
10000,50,0.5000,737,37,1.320234
10000,100,1.0000,1600,64,1.389395
10000,200,2.0000,3338,106,1.407429
10000,500,5.0000,8778,256,1.425206
10000,1000,10.0000,18114,543,1.430347
10000,2000,20.0000,36869,1056,1.416871
100000,100,0.1000,1937,56,1.402105
100000,200,0.2000,4029,120,1.422488
100000,500,0.5000,10504,327,1.436919
100000,1000,1.0000,21563,608,1.440698
100000,2000,2.0000,43866,1192,1.432261
100000,5000,5.0000,113266,2762,1.436334
100000,10000,10.0000,231578,5311,1.436756
100000,20000,20.0000,467104,10197,1.418504
1000000,1000,0.1000,24844,550,1.438615
1000000,2000,0.2000,50904,1299,1.444815
1000000,5000,0.5000,130059,3109,1.439170
1000000,10000,1.0000,266552,5916,1.447028
1000000,20000,2.0000,541911,11234,1.443767
1000000,50000,5.0000,1382070,28565,1.437755
1000000,100000,10.0000,2807447,53485,1.434422
1000000,200000,20.0000,5690687,99579,1.428489
