k,iters,native,native_sd,native_ci,native_cv,bis,bis_sd,bis_ci,bis_cv,esm,esm_sd,esm_ci,esm_cv,deltasort,deltasort_sd,deltasort_ci,deltasort_cv
1,200,100045,24,15,0.0,17,1,0,3.1,52165,21145,13106,40.5,17,2,1,13.9
2,200,100111,5,3,0.0,34,1,0,2.1,60632,16462,10203,27.2,34,2,1,7.0
5,200,100251,24,15,0.0,84,1,1,1.0,73080,15565,9647,21.3,88,5,3,6.0
10,200,100500,33,20,0.0,168,2,1,0.9,88930,7534,4670,8.5,170,7,4,4.3
20,100,101004,76,47,0.1,334,2,1,0.5,96078,4347,2694,4.5,343,14,9,4.1
50,100,102299,108,67,0.1,833,3,2,0.3,99062,1039,644,1.0,896,29,18,3.2
100,40,104637,169,104,0.2,1669,5,3,0.3,99466,1193,740,1.2,1798,40,24,2.2
200,40,109612,511,317,0.5,3340,6,4,0.2,100723,293,182,0.3,3654,111,69,3.0
500,20,127244,923,572,0.7,8338,9,5,0.1,103524,89,55,0.1,9340,159,98,1.7
1000,20,165461,1024,635,0.6,16675,21,13,0.1,108051,205,127,0.2,18901,452,280,2.4
2000,20,247214,1936,1200,0.8,33349,16,10,0.0,117862,205,127,0.2,38079,772,479,2.0
5000,20,425454,2667,1653,0.6,83268,32,20,0.0,151068,467,289,0.3,98565,2381,1476,2.4
10000,20,561576,1170,725,0.2,166181,57,35,0.0,210878,961,596,0.5,199569,5990,3713,3.0
20000,20,713626,1721,1067,0.2,330739,69,43,0.0,340321,1315,815,0.4,407792,16975,10521,4.2
50000,20,1032650,3915,2427,0.4,811325,96,60,0.0,756869,2386,1479,0.3,994641,33040,20478,3.3
100000,20,1358753,7045,4366,0.5,1522753,116,72,0.0,1358852,5971,3701,0.4,1556603,3979,2466,0.3
