k,iters,native,native_sd,native_ci,native_cv,bis,bis_sd,bis_ci,bis_cv,esm,esm_sd,esm_ci,esm_cv,deltasort,deltasort_sd,deltasort_ci,deltasort_cv
1,200,7018.6,5202.0,721.0,74.1,147.2,191.4,26.5,130.0,696.5,306.2,42.4,44.0,45.4,80.7,11.2,177.6
2,200,2749.1,684.3,94.8,24.9,184.9,171.5,23.8,92.7,908.0,220.6,30.6,24.3,78.2,152.6,21.2,195.1
5,200,2668.5,414.8,57.5,15.5,450.5,291.4,40.4,64.7,1071.2,189.5,26.3,17.7,192.5,390.0,54.0,202.5
10,200,2654.8,455.9,63.2,17.2,919.9,586.3,81.3,63.7,1138.8,191.6,26.6,16.8,352.9,660.8,91.6,187.2
20,100,3459.4,1246.6,244.3,36.0,1791.5,1079.1,211.5,60.2,1143.1,152.0,29.8,13.3,729.4,1286.6,252.2,176.4
50,100,3233.8,906.0,177.6,28.0,4265.4,2405.1,471.4,56.4,1115.4,115.1,22.6,10.3,1688.3,2859.6,560.5,169.4
100,40,8778.7,3527.3,1093.1,40.2,9546.6,4865.5,1507.8,51.0,1841.5,640.6,198.5,34.8,3773.9,6914.8,2142.9,183.2
200,40,5311.4,2563.3,794.4,48.3,17503.1,10112.4,3133.9,57.8,1439.5,205.9,63.8,14.3,6555.5,12347.1,3826.4,188.3
500,20,5558.4,1279.9,561.0,23.0,45861.9,28579.4,12525.5,62.3,1444.7,107.7,47.2,7.5,18422.6,34801.9,15252.6,188.9
1000,20,6581.1,2945.2,1290.8,44.8,100882.8,72754.0,31885.9,72.1,2160.0,377.9,165.6,17.5,37234.8,69868.6,30621.2,187.6
2000,20,7938.8,1703.6,746.6,21.5,175401.3,114394.3,50135.5,65.2,2851.8,721.6,316.3,25.3,71923.6,135628.9,59442.0,188.6
5000,20,14570.6,4729.1,2072.6,32.5,435003.8,282067.4,123621.5,64.8,4141.4,1863.3,816.6,45.0,179522.5,344566.6,151013.0,191.9
10000,20,17321.9,3880.2,1700.6,22.4,805622.1,514397.4,225444.6,63.9,6869.6,751.9,329.5,10.9,456767.1,794195.5,348071.5,173.9
20000,20,19751.1,2215.9,971.2,11.2,1648505.3,1126781.6,493833.8,68.4,10664.1,306.3,134.3,2.9,742708.8,1350071.1,591694.8,181.8
50000,20,32214.5,2614.3,1145.8,8.1,2801651.7,1936142.6,848551.9,69.1,29043.2,1663.0,728.8,5.7,3253859.6,4607642.8,2019388.5,141.6
100000,20,47251.2,5140.4,2252.9,10.9,1716861.0,1290041.9,565385.8,75.1,53648.1,2177.0,954.1,4.1,62392.7,3783.5,1658.2,6.1
