n,k,k_percent,movement,movement_sd,movement_normalized,segments,segments_sd,segments_normalized
1000,1,0.1000,315,245,0.315000,1.0,0.0,1.000000
1000,2,0.2000,493,309,0.348653,1.1,0.4,0.813173
1000,5,0.5000,898,369,0.401786,1.5,0.6,0.688709
1000,10,1.0000,1359,702,0.429829,2.0,0.8,0.635618
1000,20,2.0000,1942,830,0.434247,2.5,1.0,0.550073
1000,50,5.0000,2865,1259,0.405226,3.4,1.7,0.485075
1000,100,10.0000,4115,1772,0.411514,4.6,2.3,0.460000
1000,200,20.0000,4682,1971,0.331033,7.3,3.6,0.518309
10000,10,0.1000,13330,5146,0.421525,1.9,0.7,0.613482
10000,20,0.2000,18555,7807,0.414904,2.5,1.0,0.552309
10000,50,0.5000,33347,17078,0.471592,3.5,1.7,0.499217
10000,100,1.0000,44140,20409,0.441405,4.9,2.5,0.492000
10000,200,2.0000,64894,30249,0.458872,6.3,3.4,0.444063
10000,500,5.0000,87966,31852,0.393396,11.1,5.2,0.497749
10000,1000,10.0000,127751,57477,0.403983,14.5,8.3,0.458846
10000,2000,20.0000,154374,68185,0.345190,19.7,11.4,0.439611
100000,100,0.1000,448433,183108,0.448433,4.7,2.1,0.470000
100000,200,0.2000,714256,335682,0.505055,6.1,3.0,0.434164
100000,500,0.5000,939703,423349,0.420248,10.7,5.0,0.478519
100000,1000,1.0000,1382692,607152,0.437246,13.8,6.8,0.434813
100000,2000,2.0000,2046647,900972,0.457644,19.4,10.2,0.433126
100000,5000,5.0000,2794559,1228566,0.395210,34.5,18.7,0.488611
100000,10000,10.0000,3977652,1648382,0.397765,44.5,22.3,0.445500
100000,20000,20.0000,4851297,1926546,0.343038,62.2,33.2,0.440174
1000000,1000,0.1000,14793091,6785491,0.467799,13.9,8.1,0.441138
1000000,2000,0.2000,19801671,8139907,0.442779,20.2,11.5,0.451239
1000000,5000,0.5000,30910028,11818213,0.437134,30.0,13.5,0.424123
1000000,10000,1.0000,41868014,17687425,0.418680,44.9,20.4,0.449300
1000000,20000,2.0000,65537979,30956542,0.463423,62.1,30.8,0.439255
1000000,50000,5.0000,99324662,42866811,0.444193,102.2,56.2,0.457142
1000000,100000,10.0000,120920385,49654287,0.382384,140.4,71.9,0.444142
1000000,200000,20.0000,149664714,56610035,0.334660,207.3,97.9,0.463559
