k,iters,native,native_sd,native_ci,native_cv,bis,bis_sd,bis_ci,bis_cv,esm,esm_sd,esm_ci,esm_cv,deltasort,deltasort_sd,deltasort_ci,deltasort_cv
1,1000,67011,12166,7541,18.2,17,0,0,0.0,18288,12622,7823,69.0,16,1,1,9.2
2,1000,82851,15882,9844,19.2,34,0,0,0.0,34808,11969,7418,34.4,31,4,3,14.4
5,1000,104348,17573,10892,16.8,85,0,0,0.0,42947,4757,2948,11.1,78,4,3,5.7
10,1000,144028,12354,7657,8.6,170,0,0,0.0,43965,5692,3528,12.9,160,8,5,4.9
20,500,187988,11935,7398,6.3,340,0,0,0.0,47485,2858,1771,6.0,333,19,11,5.6
50,500,253461,14971,9279,5.9,850,0,0,0.0,48997,746,462,1.5,845,40,25,4.7
100,200,337575,9287,5756,2.8,1700,0,0,0.0,50140,609,378,1.2,1886,70,43,3.7
200,200,457300,11514,7136,2.5,3400,0,0,0.0,51296,222,137,0.4,3801,96,60,2.5
500,100,632532,7588,4703,1.2,8500,0,0,0.0,54614,225,139,0.4,10123,384,238,3.8
1000,100,690611,5713,3541,0.8,17000,0,0,0.0,60460,157,97,0.3,20462,814,504,4.0
2000,100,704998,1877,1163,0.3,34000,0,0,0.0,73250,188,116,0.3,41416,1022,633,2.5
5000,100,720184,551,342,0.1,85000,0,0,0.0,115590,479,297,0.4,108922,3341,2071,3.1
10000,100,748404,983,609,0.1,170000,0,0,0.0,191853,709,439,0.4,220478,5509,3414,2.5
20000,100,790696,882,547,0.1,337231,0,0,0.0,355994,1830,1134,0.5,439680,10595,6567,2.4
50000,100,831888,2299,1425,0.3,784448,0,0,0.0,830650,4044,2506,0.5,930159,1299,805,0.1
