n,bis_kc,bis,ds_esm_kc,ds_esm,deltasort_kc,deltasort,esm_kc,esm
1000,79,7.900,69,6.900,312,31.200,775,77.500
2000,72,3.600,149,7.450,939,46.950,1571,78.550
5000,31,0.620,308,6.160,2427,48.540,3899,77.980
10000,23,0.230,570,5.700,4918,49.180,7749,77.490
20000,24,0.120,625,3.125,9420,47.100,15908,79.540
50000,18,0.036,1222,2.444,23308,46.616,40562,81.124
100000,22,0.022,1007,1.007,44599,44.599,82270,82.270
200000,19,0.009,1254,0.627,82024,41.012,165659,82.829
500000,21,0.004,536,0.107,191410,38.282,407915,81.583
1000000,19,0.002,977,0.098,239260,23.926,730010,73.001
