k,iters,native,native_sd,native_ci,native_cv,bis,bis_sd,bis_ci,bis_cv,esm,esm_sd,esm_ci,esm_cv,deltasort,deltasort_sd,deltasort_ci,deltasort_cv
1,10000,1061.9,123.3,2.4,11.6,101.1,55.5,1.1,54.9,708.6,168.6,3.3,23.8,14.4,21.3,0.4,148.1
2,5000,1185.7,152.8,4.2,12.9,201.0,75.5,2.1,37.6,766.6,191.2,5.3,24.9,25.1,26.2,0.7,104.3
5,5000,1445.3,167.1,4.6,11.6,489.4,115.9,3.2,23.7,813.6,67.7,1.9,8.3,51.3,34.1,0.9,66.5
10,1000,1757.7,218.4,13.5,12.4,1003.4,230.4,14.3,23.0,869.8,48.8,3.0,5.6,84.3,40.8,2.5,48.3
20,500,2190.8,144.8,12.7,6.6,1626.9,213.3,18.7,13.1,917.8,43.3,3.8,4.7,136.4,53.1,4.7,38.9
50,500,2993.8,137.5,12.1,4.6,3578.4,314.2,27.5,8.8,991.1,48.3,4.2,4.9,238.9,86.7,7.6,36.3
100,200,3943.0,137.0,19.0,3.5,6179.9,346.6,48.0,5.6,1007.9,36.0,5.0,3.6,368.8,112.5,15.6,30.5
200,200,5662.2,164.2,22.8,2.9,11170.9,464.9,64.4,4.2,1041.4,35.0,4.8,3.4,506.9,162.1,22.5,32.0
500,200,8920.3,252.3,35.0,2.8,25278.3,1866.7,258.7,7.4,1138.0,30.6,4.2,2.7,816.8,271.7,37.7,33.3
1000,200,10594.7,740.1,102.6,7.0,49729.6,1879.4,260.5,3.8,1200.8,32.3,4.5,2.7,1196.8,327.4,45.4,27.4
2000,100,10590.8,252.4,49.5,2.4,97894.8,1735.7,340.2,1.8,1435.3,47.8,9.4,3.3,1840.3,421.7,82.6,22.9
5000,100,10372.6,215.1,42.2,2.1,,,,,1887.3,38.9,7.6,2.1,3140.3,586.1,114.9,18.7
10000,100,10901.3,230.9,45.3,2.1,,,,,2546.7,79.6,15.6,3.1,5167.5,757.6,148.5,14.7
20000,100,11726.0,243.8,47.8,2.1,,,,,4112.7,120.0,23.5,2.9,8633.5,743.8,145.8,8.6
50000,100,13272.9,379.5,74.4,2.9,,,,,9354.3,177.6,34.8,1.9,18398.1,1249.1,244.8,6.8
100000,100,14508.6,555.5,108.9,3.8,,,,,16532.1,1480.2,290.1,9.0,28951.7,1289.1,252.7,4.5
