k,iters,native,native_sd,native_ci,native_cv,mergesort,mergesort_sd,mergesort_ci,mergesort_cv,bis,bis_sd,bis_ci,bis_cv,esm,esm_sd,esm_ci,esm_cv,deltasort,deltasort_sd,deltasort_ci,deltasort_cv
1,1000,2185348,0,0,0.0,1568928,0,0,0.0,50192,26512,1643,52.8,74213,14506,899,19.5,5623,10176,631,181.0
2,1000,2185348,0,0,0.0,1568928,0,0,0.0,99406,37468,2322,37.7,101367,20319,1259,20.0,10983,12842,796,116.9
5,1000,2185348,0,0,0.0,1568928,0,0,0.0,249661,59209,3670,23.7,174701,32588,2020,18.7,23053,17598,1091,76.3
10,1000,2185348,0,0,0.0,1568928,0,0,0.0,498176,85515,5300,17.2,300950,47247,2928,15.7,36836,21055,1305,57.2
20,500,2185348,0,0,0.0,1568928,0,0,0.0,1003398,122067,10700,12.2,550282,64123,5621,11.7,55367,25375,2224,45.8
50,500,2185348,0,0,0.0,1568928,0,0,0.0,2489729,186804,16374,7.5,1292145,100193,8782,7.8,89731,37605,3296,41.9
100,200,2185348,0,0,0.0,1568928,0,0,0.0,5010722,276013,38253,5.5,2536327,145349,20144,5.7,129290,60014,8318,46.4
200,200,2185348,0,0,0.0,1568928,0,0,0.0,9986094,372019,51559,3.7,5034540,203522,28207,4.0,185711,82936,11494,44.7
500,100,2185348,0,0,0.0,1568928,0,0,0.0,24845846,583474,114361,2.3,12450312,263162,51580,2.1,274923,122411,23992,44.5
1000,100,2185348,0,0,0.0,1568928,0,0,0.0,49408627,749163,146836,1.5,24554511,406009,79578,1.7,430235,185250,36309,43.1
2000,100,2185348,0,0,0.0,1568928,0,0,0.0,97736038,1181947,231662,1.2,48062316,646361,126687,1.3,561058,229539,44990,40.9
5000,100,2185348,0,0,0.0,1568928,0,0,0.0,234952650,1804079,353599,0.8,112464200,1041488,204132,0.9,851756,351123,68820,41.2
10000,100,2185348,0,0,0.0,1568928,0,0,0.0,439616461,2253087,441605,0.5,199971397,1248107,244629,0.6,1111893,427447,83780,38.4
20000,100,2185348,0,0,0.0,1568928,0,0,0.0,757906669,2669837,523288,0.4,300189407,1766527,346239,0.6,1193742,448099,87827,37.5
